,Rule,TP,TN,FP,FN,Actual Yes,Actual No,Predicted Yes,Predicted No,TPR/Sens,TNR/Spec,FPR,Precision,F1,Accuracy,MCR,BalancedAccuracy,Class
0,"G[0,0]((Mort = 0.000 & LOS = 0.000))",750,0,126,0,750,126,876,0,1.0,0.0,1.0,0.8561643835616438,0.9225092250922509,0.8561643835616438,0.14383561643835618,0.5,Negative
1,"G[0,0]((n_evts > 0.000 -> Temp = 0.000))",750,121,5,0,750,126,755,121,1.0,0.9603174603174603,0.03968253968253968,0.9933774834437086,0.9966777408637874,0.9942922374429224,0.005707762557077611,0.9801587301587302,Positive
2,"G[0,0]((LOS < 0.000 & LOS = 0.000))",750,0,126,0,750,126,876,0,1.0,0.0,1.0,0.8561643835616438,0.9225092250922509,0.8561643835616438,0.14383561643835618,0.5,Negative
3,"G[0,0]((tte = 0.000 -> SBP = 0.000))",750,99,27,0,750,126,777,99,1.0,0.7857142857142857,0.21428571428571427,0.9652509652509652,0.9823182711198428,0.9691780821917808,0.03082191780821919,0.8928571428571428,Negative
4,"G[0,0]((n_evts < 0.000 -> s24_hr = 0.000))",750,0,126,0,750,126,876,0,1.0,0.0,1.0,0.8561643835616438,0.9225092250922509,0.8561643835616438,0.14383561643835618,0.5,Positive
5,"G[0,0]((tte = 0.000 -> SODIUM = 0.000))",750,99,27,0,750,126,777,99,1.0,0.7857142857142857,0.21428571428571427,0.9652509652509652,0.9823182711198428,0.9691780821917808,0.03082191780821919,0.8928571428571428,Negative
6,"G[0,0]((LOS < 0.000 & y = 0.000))",750,0,126,0,750,126,876,0,1.0,0.0,1.0,0.8561643835616438,0.9225092250922509,0.8561643835616438,0.14383561643835618,0.5,Negative
7,"G[0,0]((n_evts > 0.000 -> n_evts = 0.000))",750,121,5,0,750,126,755,121,1.0,0.9603174603174603,0.03968253968253968,0.9933774834437086,0.9966777408637874,0.9942922374429224,0.005707762557077611,0.9801587301587302,Positive
8,"G[0,0]((LOS = 0.000 & ICU_Pt_Days > 0.000))",750,0,126,0,750,126,876,0,1.0,0.0,1.0,0.8561643835616438,0.9225092250922509,0.8561643835616438,0.14383561643835618,0.5,Negative
9,"G[0,0]((n_evts > 0.000 -> death = 0.000))",750,36,90,0,750,126,840,36,1.0,0.2857142857142857,0.7142857142857143,0.8928571428571429,0.9433962264150945,0.8972602739726028,0.10273972602739723,0.6428571428571428,Positive
10,"G[0,0]((LOS > 0.000 -> n_evts < 0.000))",750,0,126,0,750,126,876,0,1.0,0.0,1.0,0.8561643835616438,0.9225092250922509,0.8561643835616438,0.14383561643835618,0.5,Negative
11,"G[0,0]((n_evts < 0.000 -> Glasgow_Coma_Scale_Total = 0.000))",750,0,126,0,750,126,876,0,1.0,0.0,1.0,0.8561643835616438,0.9225092250922509,0.8561643835616438,0.14383561643835618,0.5,Positive
12,"G[0,0]((LOS = 0.000 -> n_evts < 0.000))",750,0,126,0,750,126,876,0,1.0,0.0,1.0,0.8561643835616438,0.9225092250922509,0.8561643835616438,0.14383561643835618,0.5,Positive
13,"G[0,0]((Pulse = 0.000 & LOS = 0.000))",750,0,126,0,750,126,876,0,1.0,0.0,1.0,0.8561643835616438,0.9225092250922509,0.8561643835616438,0.14383561643835618,0.5,Negative
14,"G[0,0]((direct > 0.000 -> CHLORIDE < 0.000))",750,63,63,0,750,126,813,63,1.0,0.5,0.5,0.922509225092251,0.9596928982725529,0.928082191780822,0.07191780821917804,0.75,Positive
15,"G[0,0]((n_evts > 0.000 -> WHITE_BLOOD_CELL_COUNT = 0.000))",750,121,5,0,750,126,755,121,1.0,0.9603174603174603,0.03968253968253968,0.9933774834437086,0.9966777408637874,0.9942922374429224,0.005707762557077611,0.9801587301587302,Positive
16,"G[0,0]((n_evts > 0.000 -> CHLORIDE = 0.000))",750,121,5,0,750,126,755,121,1.0,0.9603174603174603,0.03968253968253968,0.9933774834437086,0.9966777408637874,0.9942922374429224,0.005707762557077611,0.9801587301587302,Positive
17,"G[0,0]((LOS = 0.000 -> n_evts = 0.000))",750,0,126,0,750,126,876,0,1.0,0.0,1.0,0.8561643835616438,0.9225092250922509,0.8561643835616438,0.14383561643835618,0.5,Positive
18,"G[0,0]((O2_Flow = 0.000 & ICU_Pt_Days > 0.000))",750,0,126,0,750,126,876,0,1.0,0.0,1.0,0.8561643835616438,0.9225092250922509,0.8561643835616438,0.14383561643835618,0.5,Negative
