,Non Rules
0,"((tte < 0.000) U[0,0] (tte = 0.000))"
1,"G[0,0]((LOS = 0.000 -> Mort > 0.000))"
2,"((LOS = 0.000) U[0,0] (SpO2 > 0.000))"
3,"((tte < 0.000) U[0,0] (direct > 0.000))"
4,"((Mort > 0.000) U[0,0] (O2_Flow = 0.000))"
5,"((n_evts = 0.000) U[0,0] (Sgy > 0.000))"
6,"((death = 0.000) U[0,0] (tte > 0.000))"
7,"G[0,0]((LOS > 0.000 -> ICU_Pt_Days > 0.000))"
8,"((LOS > 0.000) U[0,0] (O2_Flow > 0.000))"
9,"((ICU_Pt_Days < 0.000) U[0,0] (death < 0.000))"
10,"G[0,0]((ICU_Pt_Days = 0.000 -> LOS = 0.000))"
11,"((n_evts = 0.000) U[0,0] (SBP = 0.000))"
12,"((ICU_Pt_Days = 0.000) U[0,0] (LOS > 0.000))"
13,"((n_evts < 0.000) U[0,0] (y = 0.000))"
