,Method,Queries,Epsilon,Precision,Accuracy,Patient Precision,Patient Accuracy
0,basic_Prunebasic,1000,1000.0,0.8741258741258742,0.8767123287671232,0.9222222222222222,0.9334811145373341
1,basic_Prunebasic,1000,100.0,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
2,basic_Prunebasic,1000,10.0,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
3,basic_Prunebasic,1000,1.0,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
4,basic_Prunebasic,1000,0.1,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
5,basic_Prunebasic,1000,0.01,0.9933774834437086,0.9942922374429224,0.5888888888888888,0.5987872369863135
6,basic_Prunebasic,1000,0.001,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
7,basic_Pruneone,1000,1000.0,0.8741258741258742,0.8767123287671232,0.9222222222222222,0.9334811145373341
8,basic_Pruneone,1000,100.0,0.8741258741258742,0.8767123287671232,0.9222222222222222,0.9334811145373341
9,basic_Pruneone,1000,10.0,0.8928571428571429,0.8972602739726028,0.8555555555555555,0.8668144478706673
10,basic_Pruneone,1000,1.0,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
11,basic_Pruneone,1000,0.1,0.8561643835616438,0.8561643835616438,0.9222222222222222,0.9334811145373341
12,basic_Pruneone,1000,0.01,0.8561643835616438,0.8561643835616438,0.9222222222222222,0.9334811145373341
13,basic_Pruneone,1000,0.001,0.0,0.14383561643835616,0.0,0.011127670144063588
14,basic_Prunesmall,1000,1000.0,0.8561643835616438,0.8561643835616438,0.9222222222222222,0.9334811145373341
15,basic_Prunesmall,1000,100.0,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
16,basic_Prunesmall,1000,10.0,0.8741258741258742,0.8767123287671232,0.9222222222222222,0.9334811145373341
17,basic_Prunesmall,1000,1.0,0.8741258741258742,0.8767123287671232,0.8555555555555555,0.8668144478706673
18,basic_Prunesmall,1000,0.1,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
19,basic_Prunesmall,1000,0.01,0.8561643835616438,0.8561643835616438,0.9222222222222222,0.9334811145373341
20,basic_Prunesmall,1000,0.001,0.8561643835616438,0.8561643835616438,0.8555555555555555,0.8668144478706673
21,beta_Prunebasic,1000,1000.0,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
22,beta_Prunebasic,1000,100.0,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
23,beta_Prunebasic,1000,10.0,0.8928571428571429,0.8972602739726028,0.8555555555555555,0.8668144478706673
24,beta_Prunebasic,1000,1.0,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
25,beta_Prunebasic,1000,0.1,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
26,beta_Prunebasic,1000,0.01,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
27,beta_Prunebasic,1000,0.001,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
28,beta_Pruneone,1000,1000.0,0.8561643835616438,0.8561643835616438,0.9222222222222222,0.9334811145373341
29,beta_Pruneone,1000,100.0,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
30,beta_Pruneone,1000,10.0,0.0,0.14383561643835616,0.0,0.011127670144063588
31,beta_Pruneone,1000,1.0,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
32,beta_Pruneone,1000,0.1,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
33,beta_Pruneone,1000,0.01,0.9124087591240876,0.9178082191780822,0.7888888888888889,0.8001477812040007
34,beta_Pruneone,1000,0.001,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
35,beta_Prunesmall,1000,1000.0,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
36,beta_Prunesmall,1000,100.0,0.0,0.14383561643835616,0.0,0.011127670144063588
37,beta_Prunesmall,1000,10.0,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
38,beta_Prunesmall,1000,1.0,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
39,beta_Prunesmall,1000,0.1,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
40,beta_Prunesmall,1000,0.01,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
41,beta_Prunesmall,1000,0.001,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
